name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"delhi, india",2024-03-01T00:00:00,60.8,60.8,51.8,72.22,0,0,,0,0,7.8,0,0,1016,27.2,1.9,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"delhi, india",2024-03-01T01:00:00,60.8,60.8,53.6,77.15,0,0,,0,0,7.6,0,0,1015,27.2,1.9,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"delhi, india",2024-03-01T02:00:00,58.4,58.4,53.6,84.15,0,0,,0,0,7.4,0,0,1014.3,18.4,1.3,0,0,0,,Clear,clear-night,"42182099999,VIDP,42181099999"
"delhi, india",2024-03-01T03:00:00,59,59,53.6,82.26,0,0,,0,0,7.4,0,0,1014,27.2,1.9,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"delhi, india",2024-03-01T04:00:00,59,59,53.6,82.26,0,0,,0,0,6.9,0,0,1014,27.2,1.9,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"delhi, india",2024-03-01T05:00:00,56.8,56.8,54.9,93.15,0,0,,0,0,6.9,0,0,1014,29.2,1.3,0,0,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"delhi, india",2024-03-01T06:00:00,59,59,55.4,87.84,0,0,,0,0,6.7,0,0,1015,27.2,1.9,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"delhi, india",2024-03-01T07:00:00,60.8,60.8,57.2,87.93,0,0,,0,0,5.8,2.2,26.5,1016,27.2,1.2,0,0,0,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"delhi, india",2024-03-01T08:00:00,60.8,60.8,55.5,82.59,0,0,,0,0,4.5,0.6,199,1016.9,32.1,1.1,23.7,0.1,0,,Partially cloudy,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
"delhi, india",2024-03-01T09:00:00,71.6,71.6,51.8,49.67,0,0,,0,0,6.3,0,0,1017,50,0.6,154.6,0.6,2,,Partially cloudy,fog,"VIDP,42181099999"
"delhi, india",2024-03-01T10:00:00,75.2,75.2,50,41.17,0,0,,0,0,6.9,3.4,140,1018,50,1.2,353.9,1.3,4,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"delhi, india",2024-03-01T11:00:00,78.4,78.4,53.3,41.85,0,0,,0,0,8.1,3.3,192,1016.7,48.9,2.2,544.4,2,5,,Partially cloudy,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
"delhi, india",2024-03-01T12:00:00,82.4,80.6,46.4,28.39,0,0,,0,0,8.9,4.7,70,1016,50,2.5,722.1,2.6,7,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"delhi, india",2024-03-01T13:00:00,82.4,80.5,44.6,26.52,0,0,,0,0,9.4,5.8,90,1015,88.9,2.5,788.4,2.8,8,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"delhi, india",2024-03-01T14:00:00,83.3,81.8,51.7,33.52,0,0,,0,0,10.7,6.7,79,1012.3,36,2.5,615.5,2.2,6,,Partially cloudy,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
"delhi, india",2024-03-01T15:00:00,84.2,81.6,42.8,23.36,0,0,,0,0,13.2,10.3,60,1012,50,2.5,585.4,2.1,6,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"delhi, india",2024-03-01T16:00:00,82.4,80.4,42.8,24.75,0,0,,0,0,16.1,12.8,110,1012,50,2.5,372.3,1.3,4,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"delhi, india",2024-03-01T17:00:00,82.1,81.5,55,39.34,0,0,,0,0,18.3,6.6,106,1010.8,57.4,2.5,407.9,1.5,4,,Partially cloudy,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
